"Zap"	"Gloss"	"Trans"	"Lang"
"2"	"behts"	""	"'brother (of a man)'"	"TMZ"
"3"	"chìel"	""	"'spouse'"	"TMZ"
"4"	"dìi'dzh"	""	"'word; language'"	"TMZ"
"5"	"Li'eb w-xèe'll gyia' loh chi'el=nìi'."	"Felipe PERF-send flower to spouse=3ANAP"	"'Felipe sent a flower to his wife'/'Felipe sent flowers to his wife'"	"TMA"
"6"	"Zh:ùaan r-ahcnèe raa ma'estr."	"Juana HAB-help all teacher"	"'Juana helps all the teachers'"	"TMZ"
"7"	"Zh:ùaan r-ahcnèe raa da ma'estr."	"Juana HAB-help all PL teacher"	"'Juana helps all the teachers'"	"TMZ"
"8"	"Zh:ùaan r-ahcnèe raa=te' ma'estr."	"Juana HAB-help all=INTSV teacher"	"'Juana helps all the teachers'"	"TMZ"
"9"	"Zh:ùaan r-ahcnèe raa=te' da ma'estr."	"Juana HAB-help all=INTSV PL teacher"	"'Juana helps all the teachers'"	"TMZ"
"10"	"1.FP-here"	""	"'I; me'"	""
"11"	"1.FP 'I; me' The clitic form of the first person singular is =a'. Note that the shorter free"	"first person singular pronoun, nàa' . This form seems to correspond to the form in SLQZ: dannoohnn, dannuahnn"	"'we; us'"	"TMZ"
"12"	"dunnùuëhnn"	"1PL.BASE.1PL"	"'we; us'"	"TMZ"
"13"	"R-gwi'ih=nn."	"HAB-see=1PL"	"'we see'"	"TMZ"
"14"	"dunnùu=da=hnn"	"1PL.BASE=PL=1PL"	"'we; us'"	"TMZ"
"16"	"Cho'o=da=hnn mi'is."	"IRR.go=PL=1PL mass"	"'We all will go to mass'"	"TMZ"
"17"	"Cho'o=nèe=nn zh:àa'p mi'is."	"IRR.go=with=1PL girl mass"	"'We will go to mass with the bride'"	"TMZ"
"18"	"Chih=nìi' z-àa=da=hnn mi'is. when=NÌI' DEF-go=PL=1PL mass chih=ru'=nìi' y-zhya'ally guehs bahahzh. then=still=NÌI' IRR-get_opened pot tepache 'When we all have gone to"	"mass then the pot of tepache will get opened' My best guess, based on the apparent morphological composition of dunnùudahnn"	"'we'"	"TMZ"
"19"	"Nah-zhih rèe' gùuly=ni' làa'any lahahzh Dabi'd, now-day this PERF.be_born=3REV in hometown David to'ohby nih g-a'c=nèe dunnùuëhnn: one"	"REL IRR-do=with 1PL.FP lài'ny nài=ny Cri'st X:-ta'ad=da=hnn. 3REV.FP COP=3REV Christ POSS-father=PL=1PL 'Today he was born in David"	"'s hometown, one who will save us: he is Christ our Lord'"	"TMZ"
"20"	"x:-yèe'cw=da=hnn"	"POSS-dog=PL=1PL"	"'our dog'"	"TMZ"
"21"	"x:-yèe'cw=nnùu'"	"POSS-dog=1PL"	"'our dog'"	"TMZ"
"22"	"dunnùu=nnùu'"	"1PL.BASE=1PL"	"'we; us'"	"TMZ"
"23"	"Dunnùu=nnùu' chòo'=nnùu' rèe. 1PL.BASE=1PL IRR.go=1PL"	"there 'We will go there"	"' Colonial Valley Zapotec (CVZ) also has several forms for the first person plural. The longer form has two syllables and usually is written as tonoo or tono (as in (14)), although fortis / lenis, tone, vowel length, and phonation distinctions are not reliably conveyed in the writing of CVZ. The shorter form starts with n and is usually written as na, as in (15). So far I haven'"	"TMZ"
"24"	"lao=tonoo justicia aldes"	"face=1PL justice alcaldes"	"'before us, the justice-alcaldes'"	"CVZ"
"25"	"firma xiteni=tonoo lani testamento niri"	"signature of=1PL stomach will this"	"'our signatures in this will'"	"CVZ"
"26"	"n-aca=yaa Cristiano hua- roba=ya ni[sa] lao NEU-be=1SG Christian NOM-get_spilled_on=1SG water face guela-gracia xtenij Bejuanaa=na Dios NOM-grace of high_lord=1PL God 'I am a Christian baptized"	"with / by the grace of our lord God' There is a division between informal and formal in the second person. Lìi' and làa"	"'tuu'"	"CVZ"
"27"	"lìi'"	"2INF.FP"	"'you (inf. sg.)'"	"TMZ"
"28"	"làa'=tuu' ' The corresponding"	"clitic forms are =ùu"	"' for the second person informal singular (17) and =tuu'"	"TMZ"
"29"	"Lìi' r-àa'p=ùu' bèe'ecw èee?"	"2INF.FP HAB-have=2INF dog Q"	"'Do you (inf. sg.) have a dog?'"	"TMZ"
"31"	"Ndèe g-a'c to'ohby se'nny pahr làa'tuu': that IRR-be one sign for"	"2INF.PL.FP y-dzhìe'll=tuu' to'ohby bdòo'… . Since the clitic form is =byùu"	"' (19b) it seems that the base for the free pronoun is yòo'"	"TMZ"
"33"	"Xi r-càa'z=byùu'? want?' There is only one form for"	"the second person plural formal pronoun, which is yòo"	"'bytùu'"	"TMZ"
"35"	"Xi r-càa'z=yòo'bytùu'? want?' The formal plural forms seems to end in the second person informal"	"plural clitic =tùu'. This suggests that we may be able to segment it as yòo'=by=tùu"	"' giving further support to the hypothesis above that yòo'"	"TMZ"
"36"	"Lài'ny nà=iny Cri'st X:-ta'ad=da=hnn."	"3REV.FP COP=3REV Christ POSS-father=PL=1PL"	"'He is Christ our Lord'"	"TMZ"
