"zap"	"trans"	"context"	"speaker"	"note"
"1"	"Xini bicyu?"	"He went to the US but he's back now."	""	"FL"	NA
"2"	"A bzeny nax."	"The chocolate has arrived."	""	"FL"	NA
"3"	"Gunyu dispensar a wzhya bzenya."	"Excuse me for coming late."	""	"FL"	NA
"4"	"A mer yzenye:n ricy."	"We'll arrive there soon."	""	"FL"	NA
"5"	"A Brook zegwi cuan Janet."	"Brook went to visit Janet."	""	"FL"	NA
"6"	"Ze ya a Brook chi mna loni."	"Brook was going dancing when I saw her."	""	"FL"	NA
"7"	"Aisy a ziela Ldua."	"Late I'm coming to Oaxaca."	"Felipe in Oaxaca, Carolyn in Amherst"	"FL"	NA
"8"	"Aisy a ziedu Ldua."	"You're coming to Oaxaca later?"	"Felipe in Oaxaca, Carolyn in Amherst"	"FL"	NA
"9"	"Aisy a zaa Ldua."	"Later I'm coming to Oaxaca."	"Felipe in LA, Carolyn in Amherst."	"FL"	NA
"10"	"Aisy a zeu Ldua e?"	"You're going to Oaxaca later?"	"Felipe in LA, Carolyn in Amherst."	"FL"	NA
"11"	"Carolyn: Zhi a ziedgana liu."	"Tomorrow I'm visiting you."	""	"FL"	NA
"12"	"Felipe: Zhi a ziedganu naa."	"Tomorrow you're coming to see me."	""	"FL"	NA
"13"	"Carolyn: Zhi a ziedgan Brook naa."	"Brook is coming to see me tomorrow."	"Brook in LA, Felipe and Carolyn in Oaxaca."	"FL"	NA
"14"	"Carolyn: Naa Brook zhi a ziede:ng Ldua."	"Brook said that she's coming to Oaxaca tomorrow."	"Brook in LA, Felipe and Carolyn in Oaxaca."	"FL"	NA
"15"	"*Carolyn: Naa Brook a ziede:ng Ldua zhi."	"Brook said that she's coming to Oaxaca tomorrow."	"Brook in LA, Felipe and Carolyn in Oaxaca."	"FL"	NA
"16"	"Carolyn: Zhi naa Brook a ziede:ng Ldua."	"Brook said that she's coming to Oaxaca tomorrow."	"Brook in LA, Felipe and Carolyn in Oaxaca."	"FL"	NA
"17"	"Carolyn: Ana Arjun betse:ng a ziedgan lae:ng."	"Arjun knows his brother is coming to see him (on the way)."	"Map 0: Arjun in Amherst, Jishnu in India."	"FL"	NA
"18"	"Ladi a zaa zhi."	"I'm going to the US tomorrow."	""	"FL"	NA
"19"	"Zhi a zia ladi."	"I'm going home/back tomorrow."	""	"FL"	NA
"20"	"A gweu Bac e?"	"Have you been to Tlac?"	""	"FL"	NA
"21"	"A biedu Ldua teiby e?"	"Have you been to Oaxaca before?"	"(come)"	"FL"	NA
"22"	"Chi bze:ng bziana a zaa."	"When my brother arrived I had already left."	""	"FL"	NA
"23"	"Zhi a zaa Bac per guicytaga."	"Tomorrow I'm going to Tlac but I'll be back (definitely)."	""	"FL"	NA
"24"	"A zyoe:n."	"We're going home (to Tlacolula)."	"Not different if Brook also lives there."	"FL"	NA
"25"	"Ngaisy wxen a zied Brook re'."	"Brook will come here tonight (def)."	""	"FL"	NA
"26"	"A nis gyied."	"The rain is coming (def)."	""	"FL"	NA
"27"	"*A nis zied."	"The rain is coming (def)."	""	"FL"	NA
"28"	"Zhi a zaa Bac. "	"Tomorrow I am going to Tlacolula (certain)."	""	"FL"	NA
"29"	"Zeu Bac a?"	"Are you going to Tlacolula?"	"Good if you're on their way, you have a reason to think so. You're expecting them to answer yes."	"FL"	NA
"30"	"A zeu Bac?"	"Are you going to Tlacolula?"	"Good if you're on their way, you have a reason to think so. You're expecting them to answer yes."	"FL"	NA
"31"	"A zaa Bac. "	"Yes, I will go."	""	"FL"	NA
"32"	"A rsoo choe:n Bac."	"Are you coming to Tlac. w/us?"	""	"FL"	NA
