"Zap"	"Gloss"	"Trans"	"Lang"
"2"	"lohoh"	""	"‘face’"	""
"3"	"Zyuu:a’ll-ru’ Jwaany loh Beed."	"tall-ER3 Juan face Pedro"	"‘Juan is taller than Pedro’"	""
"4"	"B-guhty bzihihny behlld."	"perf-kill mouse fish"	"‘The mouse killed the fish’"	""
"5"	"Q. Tu b-ta:a’az Gyeeihlly"	"? who perf-hit Mike"	"‘Who hit Mike?’"	""
"6"	"Zye:einy cansyoony b-i:i’lly ra zhyara’p."	"MUCH.sol/abs6 song perf-sing7 pi8 girl"	"‘The girls sang many songs’"	""
"7"	"Na:a’y z-e:e Beed."	"yesterday def-go Pedro"	"‘Pedro left yesterday’"	""
"8"	"Zyuu:a’ll Lieeb."	"tall Felipe"	"‘Felipe is tall’"	""
"9"	"N-aiann-a’ zyuu:a’ll Lieeb."	"neut-know-lsg tall Felipe"	"‘I know that Felipe is tall’"	""
"10"	"R-yu’la:a:a’z-a’ r-a’uw-a’ bx:aa:ady."	"hab-like-lsg hab-eat-lsg chapulin"	"‘I like to eat chapulines’"	""
"11"	"R-ca:a’z-a’ g-a’uw-a’ bx:aa:ady."	"hab-want-lsg irr-eat-lsg chapulin"	"‘I want to eat chapulines’"	""
"12"	"Dehsdeh b-zehnny-a’ b-yu’la:a:a’z-a’ ru’c."	"since perf-anive-lsg peif-like-lsg here"	"‘Since (the) time I arrived I liked it here’"	""
"13"	"Antehsdeh nih ch-iia Gyeeihlly No’rt n-a:a pahrch-iia Gyeeihlly before rel irr-go Mike US neut-be for irr-go Mike ydo:o:o’. church"	""	"‘Before Mike goes to the US, he has to go to church’"	""
"14"	"Liebrnih b-de:e:i’dy Lieeb studya’aannd n-u’ re:e’. book rel perf-give Felipe student neut-be here"	""	"‘The book that Felipe gave to a student is here’"	""
"15"	"Sehnny Gyeeihlly yzhih e:ee?"	"def.arrive Mike tomorrow y/n?"	"‘Will Mike arrive tomorrow ?’"	""
"16"	"Cei’ty ca:a’-dya’ Cri’sy liebr x:te:e’n-ni’."	"not neut.have-neg Cris book poss-3sg.anaposs12"	"‘Chrisj doesn’"	""
"17"	"A’ti’-zh: x:-liebr asu’all-u’ nnde:e’."	"not-emph poss-book blue-2sg this"	"‘This is not your blue book’"	""
"18"	"R-a’ahcw Gyeeihlly x:-cotoony-ni’."	"hab-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike puts on his shirt’"	""
"19"	"B-da’ahcw Gyeeihlly x:-cotoony-ni\"	"perf-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike put on his shirt’"	""
"20"	"G-a’acw Gyeeihlly x:-cotoony-ni’."	"irr-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike will put on his shirt’"	""
"21"	"Z-a’ahcw Gyeeihlly x:-cotoony-ni’."	"def-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike will surely put on his shirt’"	""
"22"	"Cay-a’ahcw Gyeeihlly x:-cotoony-ni’."	"prog-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike is putting on his shirt’"	""
"23"	"Cei’ty ny-a’ahcw-dya’ Gyeeihlly x:-cotoony-ni’."	"not subj-put.on-neg Mike poss-shirt-3sg.anaposs"	"‘Mike didn’"	""
"24"	"N-a’ahcw Gyeeihlly x:-cotoony-ni\"	"neut-puton Mike poss-shirt-3sg.anaposs"	"‘Mike is wearing his shirt’"	""
"25"	"(Cei’ty) asp. pref. - verb stem - (val. mark. I adv.) - (dya’) - (SAM) - (OAM) The elements cei’ty and dya’, as mentioned earlier, are used together in ver­ The aspectual prefixes will be abbreviated as follows: The verb stem includes the verb theme plus any elements which have been Valence markers include the comitative -ne:e"	""	"‘with’"	""
