"Zap"	"Gloss"	"Trans"	"Lang"
"1"	"lohoh"	""	"‘face’"	""
"2"	"Zyuu:a’ll-ru’ Jwaany loh Beed."	"tall-ER3 Juan face Pedro"	"‘Juan is taller than Pedro’"	""
"3"	"B-guhty bzihihny behlld."	"perf-kill mouse fish"	"‘The mouse killed the fish’"	""
"4"	"Q. Tu b-ta:a’az Gyeeihlly"	"? who perf-hit Mike"	"‘Who hit Mike?’"	""
"5"	"Zye:einy cansyoony b-i:i’lly ra zhyara’p."	"MUCH.sol/abs6 song perf-sing7 pi8 girl"	"‘The girls sang many songs’"	""
"6"	"Na:a’y z-e:e Beed."	"yesterday def-go Pedro"	"‘Pedro left yesterday’"	""
"7"	"Zyuu:a’ll Lieeb."	"tall Felipe"	"‘Felipe is tall’"	""
"8"	", since this word is used before liquid and gas"	"mass nouns, always translating into 7 This verb also means"	"‘read’"	""
"9"	"R-yu’la:a:a’z-a’ r-a’uw-a’ bx:aa:ady."	"hab-like-lsg hab-eat-lsg chapulin"	"‘I like to eat chapulines’"	""
"10"	"R-ca:a’z-a’ g-a’uw-a’ bx:aa:ady."	"hab-want-lsg irr-eat-lsg chapulin"	"‘I want to eat chapulines’"	""
"11"	"Dehsdeh b-zehnny-a’ b-yu’la:a:a’z-a’ ru’c."	"since perf-anive-lsg peif-like-lsg here"	"‘Since (the) time I arrived I liked it here’"	""
"14"	"Sehnny Gyeeihlly yzhih e:ee?"	"def.arrive Mike tomorrow y/n?"	"‘Will Mike arrive tomorrow ?’"	""
"15"	"Cei’ty ca:a’-dya’ Cri’sy liebr x:te:e’n-ni’."	"not neut.have-neg Cris book poss-3sg.anaposs12"	"‘Chrisj doesn’"	""
"16"	"\" In fact, Lee (1997) takes nih to be a complementizer, basing this claim on causatives"	"such (i) X:-la’mm-eng b-e:e:i’ny nih b-gwah-ng loh gyihzhya’ah. poss-boss-3s perf-make th a t peif-cut-3s on grass"	"‘His boss caused him to cut the grass’"	""
"17"	"R-a’ahcw Gyeeihlly x:-cotoony-ni’."	"hab-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike puts on his shirt’"	""
"18"	"B-da’ahcw Gyeeihlly x:-cotoony-ni\"	"perf-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike put on his shirt’"	""
"19"	"G-a’acw Gyeeihlly x:-cotoony-ni’."	"irr-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike will put on his shirt’"	""
"20"	"Z-a’ahcw Gyeeihlly x:-cotoony-ni’."	"def-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike will surely put on his shirt’"	""
"21"	"Cay-a’ahcw Gyeeihlly x:-cotoony-ni’."	"prog-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike is putting on his shirt’"	""
"22"	"Cei’ty ny-a’ahcw-dya’ Gyeeihlly x:-cotoony-ni’."	"not subj-put.on-neg Mike poss-shirt-3sg.anaposs"	"‘Mike didn’"	""
