"Zap"	"Gloss"	"Trans"
"1"	"Y-tàa’az Gye’eihlly Li’eb"	"irr-beat Mike Felipe"	"Mike will beat Felipe"
"2"	"Gye’eihlly Li’eb"	"y-tàa’az Li’eb"	"MIKE will beat Felipe/"
"3"	"Nài ø-nnaa Gye’eihlly cay-ahcx:ùu’w Li’eb"	"yesterday neut-say Mike prog-sick Felipe"	"Yesterday Mike said Felipe is sick"
"4"	"Cay-ùall Jwaany li’ebr"	"prog-read Juan book"	"Juan is reading a book"
"5"	"Uu cay-ùall Jwaany li’ebr?"	"Q prog-read Juan boo"	"Is Juan is reading a book?"
"6"	"Cay-ùa’ll Jwaany li’ebr eèe?"	"prog-read Juan book Q"	"Is Juan is reading a book?"
"7"	"Xi b-ìi’lly-ëng?"	"what perf-read-3sprox"	"What did he read?"
"8"	"?Tu xi b-inylohoh? at"	"who what perf-look at"	"Who saw what?"
"9"	"N-ago’-o’ dehts yu’uh"	"neut-lie-2sinf back house"	"You’re lying in back of the house"
"10"	"N-u’uh bihih laa’iny yu’uh"	"neut-exist air stomach house"	"There is air in the house"
"11"	"B-cwààa’ah bùunny pelo’t xnìaa ròo’oh"	"perf-throw person ball red big"	"The man threw the big red ball"
"12"	"chòonn zhyàa’p"	"three girl"	"three girls (from Munro course notes 1997)"
"13"	"Yra’ta bùunny lohnyààa’ r-unydaàa’n zêêi’ny"	"every person field hab-do-much work"	"Every farmer works hard"
"14"	"ra ca’rt"	"plural letter"	"letters"
"15"	"Tyo’p-rëng 3pprox"	"two 3pprox"	"(There are) two of them"
"16"	"y-ro’p-rëng"	"irr-two-3pprox"	"The two of them"
"17"	"s-tyo’p"	"def-two"	"Two more (examples from Munro class notes 1997)"
"18"	"Chòonn-zhyi’ bùunny m-nnàa lòo’-ng"	"three-must person perf-see face-3sprox"	"Three men must have seen him"
"19"	"Studya’aann nih b-inylohoh Pa’amm n-u’uh rèe’"	"student rel perf-see-at Pam neut-exist here"	"The student that saw Pam/ that Pam saw is here"
"20"	"Campesyenn n-àa nih b-zhyàag-a’ nài’"	"farmer neut-be rel perf-meet-1s yesterday"	"The person I met yesterday is a farmer"
