ipa,source,sourcepage,prev,trans,id,zap
,miahuatec_sbl,1,,hair,1,"
guitzyéek	"
,miahuatec_sbl,2,1,head,2,"
yéek	"
,miahuatec_sbl,3,2,ear,3,"
nzáa	"
,miahuatec_sbl,4,3,eye,4,"
nguúdló	"
,miahuatec_sbl,5,4,nose,5,"
xi	"
,miahuatec_sbl,6,5,mouth,6,"
ró	"
,miahuatec_sbl,7,6,tooth,7,"
léehy	"
,miahuatec_sbl,8,7,tongue,8,"
loz	"
,miahuatec_sbl,9,8,fingernail,9,"
mbchóya’	"
,miahuatec_sbl,0,9,foot,10,"
ni	"
,miahuatec_sbl,1,10,leg,11,"
xkúu	"
,miahuatec_sbl,2,11,knee,12,"
xíb	"
,miahuatec_sbl,3,12,hand,13,"
yá’	"
,miahuatec_sbl,4,13,belly,14,"
xa’nle’n	"
,miahuatec_sbl,5,14,guts,15,"
xti’	"
,miahuatec_sbl,6,15,neck,16,"
yéen	"
,miahuatec_sbl,7,16,back,17,"
díitz	"
,miahuatec_sbl,8,17,heart,18,"
la’zdo’	"
,miahuatec_sbl,9,18,liver,19,"
la’z	"
,miahuatec_sbl,0,19,skin,20,"
guíd	"
,miahuatec_sbl,1,20,blood,21,"
réen	"
,miahuatec_sbl,2,21,bone,22,"
dzith	"
,miahuatec_sbl,3,22,fat (n.),23,"
deéh	"
,miahuatec_sbl,4,23,meat,24,"
béh’l	"
,miahuatec_sbl,5,24,wing,25,"
xí’l	"
,miahuatec_sbl,6,25,egg,26,"
ngo	"
,miahuatec_sbl,7,26,horn,27,"
wád	"
,miahuatec_sbl,8,27,tail,28,"
xnée	"
,miahuatec_sbl,9,28,feather,29,"
dó’b	"
,miahuatec_sbl,0,29,sun,30,"
wíiz	"
,miahuatec_sbl,1,30,moon,31,"
mbeh’	"
,miahuatec_sbl,2,31,star,32,"
mbyáz	"
,miahuatec_sbl,3,32,water,33,"
nit	"
,miahuatec_sbl,4,33,rain,34,"
guíi	"
,miahuatec_sbl,5,34,river,35,"
yó’	"
,miahuatec_sbl,6,35,sea,36,"
nitdo’	"
,miahuatec_sbl,7,36,salt,37,"
déed	"
,miahuatec_sbl,8,37,stone,38,"
gué	"
,miahuatec_sbl,9,38,sand,39,"
yúx	"
,miahuatec_sbl,0,39,dust,40,"
kól	"
,miahuatec_sbl,1,40,earth,41,"
yú	"
,miahuatec_sbl,2,41,cloud,42,"
béh	"
,miahuatec_sbl,3,42,sky,43,"
béh’	"
,miahuatec_sbl,4,43,wind,44,"
mbíi	"
,miahuatec_sbl,5,44,hail,45,"
guíigué	"
,miahuatec_sbl,6,45,smoke,46,"
dzen	"
,miahuatec_sbl,7,46,fire,47,"
guí	"
,miahuatec_sbl,8,47,ashes,48,"
dií gué’rdí	"
,miahuatec_sbl,9,48,eye,4,"
nguúdló	"
,miahuatec_sbl,9,48,cloud,42,"
béh	"
,miahuatec_sbl,9,48,sky,43,"
béh’	"
,miahuatec_sbl,9,48,ashes,48,"
dií gué’rdí	"
,miahuatec_sbl,9,48,smoke,46,"
dzen	"
,miahuatec_sbl,9,48,fire,47,"
guí	"
,miahuatec_sbl,9,48,hail,45,"
guíigué	"
,miahuatec_sbl,9,48,dust,40,"
kól	"
,miahuatec_sbl,9,48,wind,44,"
mbíi	"
,miahuatec_sbl,9,48,earth,41,"
yú	"
,miahuatec_sbl,9,48,meat,24,"
béh’l	"
,miahuatec_sbl,9,48,rain,34,"
guíi	"
,miahuatec_sbl,9,48,belly,14,"
xa’nle’n	"
,miahuatec_sbl,0,14,nose,5,"
xi	"
,miahuatec_sbl,0,14,hail,45,"
guíigué	"
,miahuatec_sbl,0,14,wing,25,"
xí’l	"
,miahuatec_sbl,0,14,guts,15,"
xti’	"
,miahuatec_sbl,0,14,river,35,"
yó’	"
,miahuatec_sbl,1,35,nose,5,"
xi	"
,miahuatec_sbl,1,35,hail,45,"
guíigué	"
,miahuatec_sbl,1,35,wing,25,"
xí’l	"
,miahuatec_sbl,1,35,guts,15,"
xti’	"
,miahuatec_sbl,1,35,river,35,"
yó’	"
