ipa,source,sourcepage,prev,trans,id,zap
àaa’,sanlucasquiavini,1,,yes,125,"
a "
badiia,sanlucasquiavini,1,,roadrunner,128,"
badia"
baahlly,sanlucasquiavini,1,,"fire, flame",127,"
baly"
bannùùa’,sanlucasquiavini,1,,scorpion,178,"
banua "
bax:aa’t,sanlucasquiavini,1,,toad,126,"
baxat"
bdòo’,sanlucasquiavini,1,,baby,103,"
bdo"
bèe’cw,sanlucasquiavini,1,,dog,101,"
becw"
bèe’cwëng,sanlucasquiavini,1,,It’s a dog.,132,"
Becwëng."
bèèe’ll,sanlucasquiavini,1,,snake,108,"
bel"
beèe’l,sanlucasquiavini,1,,meat,121,"
bel"
behll,sanlucasquiavini,1,,fish,180,"
bel"
behlld,sanlucasquiavini,1,,fish,181,"
beld"
bòo,sanlucasquiavini,1,,charcoal,115,"
bo"
bùunny,sanlucasquiavini,1,,person,116,"
buny"
caba’i,sanlucasquiavini,1,,horse,183,"
cabai"
chiia,sanlucasquiavini,1,,will go,175,"
chia"
cuùu’dy,sanlucasquiavini,1,,thigh,124,"
cudy"
dàany,sanlucasquiavini,1,,mountain,112,"
dany"
deree’ch,sanlucasquiavini,1,,right,143,"
derech"
dìi’zh,sanlucasquiavini,1,,"language, speech, word",102,"
dizh"
Beed,sanlucasquiavini,2,102,Pedro,222,"
Bed"
rbahnny,sanlucasquiavini,2,102,wake up,200,"
rbany"
rcwàa’nny,sanlucasquiavini,2,102,wake (someone) up,201,"
rcwany"
rcye’tlààa’z,sanlucasquiavini,2,102,"be happy, get happy",202,"
rcyetlaz"
rdèèi’dy,sanlucasquiavini,2,102,1. give (something) to (someone other than the speaker or hearer) 2. give (someone or something) away,203,"
rdeidy"
rdììe’by,sanlucasquiavini,2,102,boil (of a liquid),204,"
rdieby"
rdu’ahx,sanlucasquiavini,2,102,bark,205,"
rduax"
rèe,sanlucasquiavini,2,102,"1. that, those 2. there",206,"
re"
rèe’,sanlucasquiavini,2,102,"1. this, these 2. here",207,"
re"
rgùad,sanlucasquiavini,2,102,1. sting (someone) 2. poke (something) at (someone),208,"
rguad"
rgyaàa’n,sanlucasquiavini,2,102,feed (someone or something),209,"
rgyan"
rnnàa’az,sanlucasquiavini,2,102,grab (something),210,"
rnaz"
rnuhdìi’zh,sanlucasquiavini,2,102,"question (someone), ask a question of (someone)",211,"
rnudizh"
rsudììe’by,sanlucasquiavini,2,102,boil (something),212,"
rsudieby"
rtyi’ihs,sanlucasquiavini,2,102,jump,213,"
rtyis"
rzh:ùu’nny,sanlucasquiavini,2,102,"1. run 2. elope (especially, of a young woman) 3. flee, run away from (a place)",214,"
rzhuny"
sedee,sanlucasquiavini,2,102,C.D.,215,"
sede"
tareea,sanlucasquiavini,2,102,exercise,216,"
tarea"
tareea,sanlucasquiavini,2,102,homework,217,"
tarea"
u’as,sanlucasquiavini,2,102,"really, very",218,"
uas"
badiia,sanlucasquiavini,3,218,roadrunner,302,"
badia"
baag,sanlucasquiavini,3,218,cow,303,"
bag"
ba’gui’idy,sanlucasquiavini,3,218,butterfly,301,"
baguidy"
bargàa’,sanlucasquiavini,3,218,type of medium-sized grasshopper,304,"
barga"
bax:aa’t,sanlucasquiavini,3,218,toad,305,"
baxat"
bdih,sanlucasquiavini,3,218,ant,306,"
bdi"
bèe’cw,sanlucasquiavini,3,218,dog,307,"
becw"
be’ich,sanlucasquiavini,3,218,buzzard,308,"
beich"
bèèe’ll,sanlucasquiavini,3,218,snake,309,"
bel"
be’euh,sanlucasquiavini,3,218,turtle,311,"
beu"
be’èu’,sanlucasquiavini,3,218,coyote (animal),312,"
beu"
be’ez,sanlucasquiavini,3,218,type of big jackrabbit,313,"
bez"
bèèe’z,sanlucasquiavini,3,218,mountain lion,314,"
bez"
bihih,sanlucasquiavini,3,218,air,378,"
bi"
bsihah,sanlucasquiavini,3,218,eagle,316,"
bsia"
bsu’ahz,sanlucasquiavini,3,218,squirrel,317,"
bsuaz"
btsya’ah,sanlucasquiavini,3,218,louse,319,"
btsya"
btye’ep,sanlucasquiavini,3,218,wasp,318,"
btyep"
bu’uhdy gwu’uar,sanlucasquiavini,3,218,turkey,322,"
budy gwuar"
bu’uhdy ngu’ahll,sanlucasquiavini,3,218,male turkey,323,"
budy ngual"
behts,sanlucasquiavini,4,323,brother (of a male),49,"
bets"
cafee,sanlucasquiavini,4,323,coffee,42,"
cafe"
cha’t,sanlucasquiavini,4,323,kiss,47,"
chat"
moon,sanlucasquiavini,4,323,doll,44,"
mon"
syudaa,sanlucasquiavini,4,323,city,41,"
syuda"
wii,sanlucasquiavini,4,323,guava,43,"
wi"
zah,sanlucasquiavini,4,323,grease,46,"
za"
àaa’,sanlucasquiavini,4,323,“Yes.”,435,"
A."
a’s,sanlucasquiavini,4,323,hi,441,"
as"
baag,sanlucasquiavini,4,323,cow,495,"
bag"
baar,sanlucasquiavini,4,323,stick,498,"
bar"
bdùùa’,sanlucasquiavini,4,323,banana,444,"
bdua"
