SLQZ_37_Felipe,zieddica nyis ndaa,The hot water is becoming warm,"When you're boiling water in a pot, you know you can see how it is bubbling.",becoming warm; simmering. The water doesn't need to be moving. You're boiling water and you see the simmering bubbles.
SLQZ_37_Felipe,zieddica reni.,The sun is appearing.,In the morning when the sun is rising.,The sun is coming out; the sun is appearing.
SLQZ_37_Felipe,Ziedzheily gyia.,The flower is opening.,,
SLQZ_37_Felipe,Rzheily,Opens,,
SLQZ_37_Felipe,rac ching,breaks down,,From the Spanish word chinga
SLQZ_37_Felipe,Guc ching xcara,My car broke down.,,
SLQZ_37_Felipe,ryahb,falls,,
SLQZ_37_Felipe,yuu de,kitchen,,
SLQZ_37_Felipe,ziedyahb yuu de,the kitchen is falling down.,,"It's not really falling but its leaning, it's going to fall down."
SLQZ_37_Felipe,zeyahb yuu de,the kitchen is literally falling down,,It fell but it was on its movement; get out of the way before it collapses; it's more of a movement. You could tell someone to get out of the way.
SLQZ_37_Felipe,#Biedyahb yuu de,The kitchen fell down.,,It's odd; you would just say it fell.
SLQZ_37_Felipe,#Gugyahb yuu de,The kitchen fell down.,,It would have to be a person.
SLQZ_37_Felipe,Biahb yuu de.,the kitchen fell down.,,
SLQZ_37_Felipe,Gugyahbeng,He/she fell down.,,It's someone who stumbled and fell down.
SLQZ_37_Felipe,#Bidguiby nyisgyia,The rain came and washed them.,,"It means it came and went, did the job, like as a person."
SLQZ_37_Felipe,Bia nyisgia bguiby,The rain came and washed them.,,
SLQZ_37_Felipe,Luzh Jwany biedguiby rac lab.,A person came and washed them.,The person comes towards us.,
SLQZ_37_Felipe,Biedzure:ng autobus ru ido,They drove and parked the bus in front of the church.,Someone came and parked the autobus in front of the church.,
SLQZ_37_Felipe,#Biedzu autobus ru ido.,,,The bus can't come and drive itself; it needs a driver
SLQZ_37_Felipe,Abzuri bus,the bus stopped.,,
SLQZ_37_Felipe,Bied autobus re'.,The bus came.,,
SLQZ_37_Felipe,Bidga'ah autobus lare:ng nai.,The bus came and picked them up yesterday.,,
SLQZ_37_Felipe,Btheidy camyiony guet xtily.,The truck hit the bread.,"If I'm carrying bread home, and I drop some in the street, and just then a car comes and hits the bread.",
SLQZ_37_Felipe,#Bidtheidy camyiony guet xtily.,The truck came and hit the bread.,"If I'm carrying bread home, and I drop some in the street, and just then a car comes and hits the bread.",
SLQZ_37_Felipe,#Ziedtheidy camyiony liu,the truck is coming to hit you,If my child runs into the road and I'm warning them.,
SLQZ_37_Felipe,Zied camyiony,the truck is coming. ,If my child runs into the road and I'm warning them.,
SLQZ_37_Felipe,Bidtaie:ng tractor ra lad gyab,The tractor came and flattened the cans.,Some heavy machine came and there was a bunch of tin cans; the tractor comes to flatten them.,
SLQZ_37_Felipe,Biedtau bde xquaca.,The ants came and ate my tree.,,
SLQZ_37_Felipe,Biedtau byu xquaca.,The leafcutter ants came and ate my tree.,,
SLQZ_37_Felipe,nyisipi,really heavy winds,,
SLQZ_37_Felipe,bzeu,thunder,,
SLQZ_37_Felipe,Giedchiby bzeu ra mniny.,The thunder will come and frighten the children.,,
SLQZ_37_Felipe,Giedchiby bzeu ra mniny.,All of a sudden the thunder will come and frighten the children.,,
SLQZ_37_Felipe,rzhiby ,frightens,,
SLQZ_37_Felipe,*Giedachiby bzeu ra mniny.,The thunder will come and frighten the children.,,
SLQZ_37_Felipe,Zuu autobus ru ido.,The bus is in front of the church.,,
SLQZ_37_Felipe,*Zieduu autobus ru ido.,The bus comes is located in front of the church.,A venitive form of zuu,
SLQZ_37_Felipe,Zied autobus ru ido,The bus passes in front of the church.,,
SLQZ_37_Felipe,Ziedzue:ng xautobuseng ru ido.,He comes and puts his bus in front of the church.,He comes and parks; he comes and stops,
SLQZ_37_Felipe,Nuu gyia dany.,The flowers are in the hills.,,
SLQZ_37_Felipe,#Riedchoo gyia lany dany.,The flowers come are in the hills.,,
SLQZ_37_Felipe,Riedzue:ng gyia lany dany.,The flowers are placed in the hills.,Someone comes and puts flowers in the hills.,
SLQZ_37_Felipe,Riedsubinye:ng gyia lany dany.,He comes and plants flowers in the hills.,,
SLQZ_37_Felipe,Rteidy nisyu gueu.,The road crosses the river.,,
SLQZ_37_Felipe,#Riedteidy nisyu gueu.,The road comes and crosses the river.,,
SLQZ_37_Felipe,Riedteidye:ng zhinye:ng gueu,He comes and helps his son cross the river.,,
SLQZ_37_Felipe,Biedldo nis lo zhie:ng.,The water came and flooded his property.,He probably had a plot next to the river and the water came and flooded it.,
SLQZ_37_Felipe,#Gulyda nis lo zhie:ng,The water went and flooded his property.,It's odd.,
SLQZ_37_Felipe,Rilyda,comes and floods,,
SLQZ_37_Felipe,Guldae:ng nis lo zhia.,He went and flooded my field.,If it's a person with a hose or something.,
SLQZ_37_Felipe,Bro Jwany.,Juan grew/ Juan is big.,,
SLQZ_37_Felipe,Ziedro:eng.,He's growing big.,,
SLQZ_37_Felipe,Uas ngel ziedroe:ng.,He's growing up very fast.,"You see a kid and you're like, wow, he's really growing up fast.",
SLQZ_37_Felipe,#Guroe:ng.,He went and grew up.,,
SLQZ_37_Felipe,Ladi guroe:ng.,He grew up in the States.,,
SLQZ_37_Felipe,#Bieddicau,You came and appeared.,"If I open a door, and someone is standing right behind it.",
SLQZ_37_Felipe,Cali bieddicau?,Where did you come from?,Like if I was walking in the hills and I turned a corner and there was someone I didn't expect to see.,
SLQZ_37_Felipe,Asta re' bieddicau,"You came all the way here, you appeared all the way here.",,
SLQZ_37_Felipe,asta ricy gudicau.,You appeared or you ended up all the way there.,Like if we were gathering asusenas and someone is telling you where they ended up and it's not where you were supposed to meet.,
SLQZ_37_Felipe,cazhia,I'm getting warm.,Two connotations: in go in heat or physically get warm. You went to the fire.,
SLQZ_37_Felipe,Cacha gubizh naa,The sun is warming me.,,
SLQZ_37_Felipe,rcha,warms,,
SLQZ_37_Felipe,Ziedcha gubizh naa.,The sun is warming me up.,"Maybe you're there and the sun appears. The sun came out and you're sitting there and you're like, oh, the sun is coming to warm me up.",
SLQZ_37_Felipe,Cachia baly naa,The fire is warming me.,,
SLQZ_37_Felipe,Ziedcha ana.,I'm coming to warm myself up.,I actually have to move there.,
SLQZ_37_Felipe,#Ziedcha baly na,The fire is coming and warming me.,,
SLQZ_37_Felipe,baly,fire,,
SLQZ_37_Felipe,#Ziedcha baly na.,The fire i coming and warming me,The wildfire is coming and going to burn me.,
SLQZ_37_Felipe,Ziedcha xana ndawa.,My mother is coming to warm my food.,,
SLQZ_37_Felipe,Ziedcha zhyet nia.,Cats are coming to warm my feet.,They go there and lie on your feet. ,
SLQZ_37_Felipe,Ziedcha zhyet nia per queity queity ra bede:ng que cha nia,The cat is coming to warm my feet but it doesn't know that it is warming my feet.,,
SLQZ_37_Felipe,rac me'eu,get dirty (be dirty),me'eu is also a dog name; brown or dirty,
SLQZ_37_Felipe,bi'idy,dirt accumulated on your body,,
SLQZ_37_Felipe,uas nuu bi'idy,you are really dirty,,
SLQZ_37_Felipe,uas cae:ng bi'idy,He has a lot of dirt; he's full of dirt,,
SLQZ_37_Felipe,uas ca bi'idy lo,your face has a lot of dirt,,
SLQZ_37_Felipe,Queity chigac me'eu,Don't go and get dirty,For instance a parent to a child,
SLQZ_37_Felipe,Rigac me'eu,Goes and gets dirty,,
SLQZ_37_Felipe,Rigac bi'idy,Goes and gets dirty,,
SLQZ_37_Felipe,Queity chigac bi'idy,Don't go and get dirty,,
SLQZ_37_Felipe,Queity chu lo galman queity chigac xuwu,Don't go out in the cold and go and get sick!,Don't go out in the cold and go and get sick,
SLQZ_37_Felipe,Queity chigac xuwu antes a cheu europa,Don't go and get sick before you go to Europe,"If we have a trip to Ireland coming up, and you're like, don't go and get sick! Just warning someone not to get sick.",
SLQZ_37_Felipe,Giedgac xuw re',Come get sick here.,If your kids have chickenpox and you're telling your cousin to send her kid over.,
SLQZ_37_Felipe,#Gugac xuw,He went and got sick.,If he's just sitting around in his room.,
SLQZ_37_Felipe,Gugac xuw xcuartu,Go get sick in your room,"For instance, a mom to her kid who is coughing in the kitchen",
SLQZ_37_Felipe,Gusubru lany xcuartu,Go cough in your room!,"For instance, a mom to her kid who is coughing in the kitchen",
SLQZ_37_Felipe,#Naldan an xcuarteng gugac xuw ric'.,His room was so cold he went and got sick.,He never leaves his room,
SLQZ_37_Felipe,Gutye:ng.,He died.,,
SLQZ_37_Felipe,Gugatye:ng,He went and died.,,
SLQZ_37_Felipe,Gugatye:ng hospital.,He went and died in the hospital.,"It's ok if he doesn't want to die, but he actually has to go somewhere.",
SLQZ_37_Felipe,#Gugatye:ng.,He went and died.,He's been sick for a long time in his room and dies.,
SLQZ_37_Felipe,Gugatye:ng hospital.,He went and died in the hospital.,Fine if he is carried to the hospital in an ambulance or something; fine if he is unconscious or doesn't know he's going to the hospital.,
SLQZ_37_Felipe,Rual,sings,,
SLQZ_37_Felipe,Rigual Maria lany ido.,Mary goes and sings at the church.,,
SLQZ_37_Felipe,Rigual Maria ido.,Mary goes and sings at the church.,Same meaning but Felipe likes to specify preposition,
SLQZ_37_Felipe,Ruale:ng zee:ng ric.,She is singing while she is walking,,
SLQZ_37_Felipe,#Gudica Jwany.,Juan went and appeared.,If I'm in a dark room and I turn on a light and Juan is there and it scares me.,
SLQZ_37_Felipe,Brica Jwany.,Juan appeared.,If I'm in a dark room and I turn on a light and Juan is there and it scares me.,
SLQZ_37_Felipe,Gutau Jwany teiby manzan.,Juan went and ate an apple.,,
SLQZ_37_Felipe,Biednity Jwany xli'ebrni.,Juan came and lost his book.,"He comes over, he loses his book, sometime later he realizes he lost it.",
SLQZ_37_Felipe,Gunityzha xli'ebra ric'.,I must have gone and lost my book there.,"He comes over, he loses his book, sometime later he realizes he lost it.",
SLQZ_37_Felipe,rzhyag,to run into someone by accident,,
SLQZ_37_Felipe,bzhyaga lae:ng ric'.,I ran into him here.,,
SLQZ_37_Felipe,bzhyaga lae:ng Ndua.,I ran into him in Oaxaca.,If it's in habitual it's probably not accidentally,
SLQZ_37_Felipe,brice:ng Ndua mnaa lae:ng.,He appeared in Oaxaca and I saw him.,,
SLQZ_37_Felipe,Guzhyaga lae:ng Bac.,I went and met with him in Tlacolula.,"Could be intentional or not; someone could ask if you had seen Juan lately and you could say, oh I ran into him in Tlacolula.",
SLQZ_37_Felipe,dye'ga,instead of,,
SLQZ_37_Felipe,daca na dizh nrsila dac blac manzan bzinia lae:ng.,,"I was in a hurry, and I thought I bought some oranges, but they turned out to be apples.",
