ipa,source,sourcepage,prev,trans,id,zap
za’c wxi’ihnny !,tlacochahuaya,1,,Good evening!,1975,"
Zac wxiny!"
za’carsìii’ly!,tlacochahuaya,1,,Good morning!,1973,"
Zacarsily!"
,tlacochahuaya,1,,guava,3170,"
bugui	"
,tlacochahuaya,1,,all,3167,"
gra	"
,tlacochahuaya,1,,all the words,3172,"
grate de dich	"
,tlacochahuaya,1,,Lopez,3100,"
Loby	"
,tlacochahuaya,1,,their faces,3101,"
lorëng	"
,tlacochahuaya,1,,machine,3102,"
macyëm	"
,tlacochahuaya,1,,master bricklayer,3103,"
maestr	"
,tlacochahuaya,1,,Going on an errand.,3104,"
Mandad.	"
,tlacochahuaya,1,,apple,3105,"
mansan	"
,tlacochahuaya,1,,animal,3106,"
many	"
,tlacochahuaya,1,,bee,3108,"
manyser	"
,tlacochahuaya,1,,"Tomas, Thomas",3109,"
Mazh	"
,tlacochahuaya,1,,money,3123,"
mëly	"
,tlacochahuaya,1,,teacher,3112,"
mes	"
,tlacochahuaya,1,,waiter,3113,"
meser	"
,tlacochahuaya,1,,blonde,3124,"
mëxh	"
,tlacochahuaya,1,,miracle,3114,"
milagr	"
,tlacochahuaya,1,,child,3119,"
mini’í	"
za’c laizhih !,tlacochahuaya,2,3119,Good midday!,295,"
Zac laizhi!"
za’c rsìii’lly !,tlacochahuaya,2,3119,Good morning!,293,"
Zac rsily!"
,tlacochahuaya,2,3119,Good morning!,2858,"
¡Zac rsily!	"
,tlacochahuaya,2,3119,Good day (midday)!,2859,"
¡Zak laizhi!	"
,tlacochahuaya,2,3119,Good evening!,2861,"
¡Zak wxiin!	"
,tlacochahuaya,2,3119,Good afternoon!,2860,"
¡Zak wzhi!	"
,tlacochahuaya,2,3119,Where did you learn Zapotec?,2955,"
¿Cali bsedyyu dizhsa?	"
,tlacochahuaya,2,3119,where are you going?,2856,"
¿Cali chu?	"
,tlacochahuaya,2,3119,where did you go? (cultural note: used as a greeting when meeting someone on the street as they are headed towards their home),2857,"
¿Cali guiu?	"
,tlacochahuaya,2,3119,roadrunner,2883,"
badia	"
,tlacochahuaya,2,3119,cow,2884,"
bagh	"
,tlacochahuaya,2,3119,butterfly,2885,"
baguidy	"
,tlacochahuaya,2,3119,"fire, flame",2887,"
baly	"
,tlacochahuaya,2,3119,old,2889,"
bangual	"
,tlacochahuaya,2,3119,scorpion,2890,"
banua	"
,tlacochahuaya,2,3119,stick,2891,"
bar	"
,tlacochahuaya,2,3119,type of medium-sized grasshopper,2892,"
barga	"
,tlacochahuaya,2,3119,toad,2893,"
baxat	"
,tlacochahuaya,2,3119,knife,2895,"
bchily	"
,tlacochahuaya,2,3119,ant,2896,"
bdi	"
x:tyoozëhnn lìu’,tlacochahuaya,3,2896,Thank you,300,"
Xtyozën liu"
,tlacochahuaya,3,2896,type of hawk,3561,"
 yarbay	"
,tlacochahuaya,3,2896,where are you all going?,3509,"
¿cali chet?	"
,tlacochahuaya,3,2896,To whom should I direct (my question)?,3374,"
¿Tu lo cha’a?	"
,tlacochahuaya,3,2896,today,3598,"
an chi	"
,tlacochahuaya,3,2896,soul,3599,"
anym	"
,tlacochahuaya,3,2896,skunk,3496,"
ba’át	"
,tlacochahuaya,3,2896,punch (drink),3488,"
bach	"
,tlacochahuaya,3,2896,hen,3740,"
bad guidy	"
,tlacochahuaya,3,2896,star,3391,"
bahl	"
,tlacochahuaya,3,2896,fire,3804,"
bahl	"
,tlacochahuaya,3,2896,put on a shawl?,3501,"
bai chukye’	"
,tlacochahuaya,3,2896,shawl,3489,"
baiy	"
,tlacochahuaya,3,2896,mud,3604,"
bany 	"
,tlacochahuaya,3,2896,lion,3490,"
batx	"
,tlacochahuaya,3,2896,grackle bird,3675,"
bca’á	"
,tlacochahuaya,3,2896,witch,3608,"
bcha’á	"
,tlacochahuaya,3,2896,larvae of beetles,3818,"
bchan	"
,tlacochahuaya,3,2896,barn owl,3679,"
bchie	"
,tlacochahuaya,3,2896,altar,3601,"
bcu 	"
,tlacochahuaya,4,3601,skunk,3496,"
ba’át	"
,tlacochahuaya,4,3601,punch (drink),3488,"
bach	"
,tlacochahuaya,4,3601,shawl,3489,"
baiy	"
,tlacochahuaya,4,3601,lion,3490,"
batx	"
,tlacochahuaya,4,3601,sister (of a female),3413,"
beeld	"
,tlacochahuaya,4,3601,brother (of a male),3417,"
behts	"
