ipa,source,sourcepage,prev,trans,id,zap
,teotitlan,1,,"old person, elderly person",18,"
bengul	"
,teotitlan,1,,shirt,http://www.nepalo.com/teotitlan/dictionary/index-spanish/index.htm,"
biaj"
,teotitlan,1,,child,10,"
bini’n	"
,teotitlan,1,,saint,13,"
dxang	"
,teotitlan,1,,squash,15,"
git	"
,teotitlan,1,,no,17,"
kety	"
,teotitlan,1,,my hand,19,"
nia’	"
,teotitlan,1,,pot for making tejate and atole,11,"
txaa	"
,teotitlan,1,,Can you speak more slowly?,187,"
a zak nii yubiu stubru txila’s	"
,teotitlan,1,,my finger,128,"
bakuinia’	"
,teotitlan,1,,my toe,126,"
bakuinie’	"
,teotitlan,1,,meat,197,"
bel	"
,teotitlan,1,,people,130,"
beniit	"
,teotitlan,1,,woman,132,"
beny gunà’	"
,teotitlan,1,,man,131,"
beny ngiu	"
,teotitlan,1,,my fingernail ,107,"
bixugnia	"
,teotitlan,1,,my toenail ,119,"
bixugnie’e	"
,teotitlan,1,,young girl,116,"
dxapen	"
,teotitlan,1,,,122,"
gal rau	"
,teotitlan,1,,the action of going,112,"
gal re	"
,teotitlan,2,112,snake,26,"
bell	"
,teotitlan,2,112,seed,20,"
binny	"
,teotitlan,2,112,basket,28,"
dxummiag	"
,teotitlan,2,112,money,27,"
medy	"
,teotitlan,2,112,curly hair,21,"
pity	"
,teotitlan,2,112,mouth,22,"
ru’u	"
,teotitlan,2,112,four,24,"
tap	"
,teotitlan,2,112,greeting with handshake,25,"
xtxang	"
,teotitlan,2,112,house,29,"
yu’u	"
,teotitlan,2,112,I’m finished,219,"
a balluxhaa	"
,teotitlan,2,112,I’ve arrived,209,"
a bizïnia	"
,teotitlan,2,112,I’ve returned,210,"
a gubiee	"
,teotitlan,2,112,I’m full,211,"
a gudxaa lenia	"
,teotitlan,2,112,how much (money),230,"
bagaly	"
,teotitlan,2,112,how much (money),231,"
ballak	"
,teotitlan,2,112,"moon, month",282,"
beu	"
,teotitlan,2,112,engagement ,270,"
biù’z	"
,teotitlan,2,112,store,249,"
diend	"
,teotitlan,2,112,all day long,285,"
dubxii	"
,teotitlan,2,112,day,284,"
dxii	"
,teotitlan,3,284,we’re going to say hello,33,"
ganiun xtxan	"
